COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Siskiyou,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2017–2018,Total population,All ages,22.6%,(11.0–34.1),,
Sonoma,2017–2018,Total population,All ages,18.0%,(8.9–27.1),,
Stanislaus,2017–2018,Total population,All ages,17.1%,(9.1–25.1),,
Sutter,2017–2018,Total population,All ages,25.3%,(14.6–36.0),,
Tehama,2017–2018,Total population,All ages,14.9%,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2017–2018,Total population,All ages,20.1%,(8.7–31.5),,
Tuolumne,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2017–2018,Total population,All ages,11.9%,(7.8–16.1),,
Yolo,2017–2018,Total population,All ages,19.4%,(9.5–29.3),,
Yuba,2017–2018,Total population,All ages,18.2%,(10.5–25.8),,
California,2017–2018,Child vs. adult,0–17 years,13.7%,(11.7–15.8),,
Alameda,2017–2018,Child vs. adult,0–17 years,15.6%,(5.8–25.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2017–2018,Child vs. adult,0–17 years,18.0%,(3.3–32.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Inyo,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Child vs. adult,0–17 years,27.3%,(4.6–50.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Child vs. adult,0–17 years,14.8%,(10.2–19.3),,
Madera,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2017–2018,Child vs. adult,0–17 years,10.4%,(2.2–18.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Child vs. adult,0–17 years,16.1%,(7.6–24.5),,
Sacramento,2017–2018,Child vs. adult,0–17 years,14.2%,(2.9–25.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Child vs. adult,0–17 years,13.9%,(2.3–25.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2017–2018,Child vs. adult,0–17 years,10.7%,(5.0–16.4),,
San Francisco,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Child vs. adult,0–17 years,28.7%,(2.8–54.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Child vs. adult,0–17 years,13.5%,(3.6–23.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2017–2018,Child vs. adult,0–17 years,14.7%,(0.6–28.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Stanislaus,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Child vs. adult,18+ years,15.9%,(15.2–16.6),,
Alameda,2017–2018,Child vs. adult,18+ years,13.3%,(9.4–17.2),,
Alpine,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2017–2018,Child vs. adult,18+ years,18.7%,(11.3–26.0),,
Calaveras,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2017–2018,Child vs. adult,18+ years,18.9%,(10.0–27.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2017–2018,Child vs. adult,18+ years,19.7%,(14.9–24.6),,
Del Norte,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2017–2018,Child vs. adult,18+ years,17.9%,(6.6–29.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2017–2018,Child vs. adult,18+ years,20.5%,(14.7–26.2),,
Glenn,2017–2018,Child vs. adult,18+ years,18.9%,(10.0–27.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2017–2018,Child vs. adult,18+ years,17.0%,(10.6–23.4),,
Imperial,2017–2018,Child vs. adult,18+ years,17.7%,(9.2–26.1),,
Inyo,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2017–2018,Child vs. adult,18+ years,16.3%,(10.3–22.4),,
Kings,2017–2018,Child vs. adult,18+ years,15.2%,(10.3–20.0),,
Lake,2017–2018,Child vs. adult,18+ years,15.9%,(8.0–23.8),,
Lassen,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2017–2018,Child vs. adult,18+ years,14.5%,(13.2–15.9),,
Madera,2017–2018,Child vs. adult,18+ years,18.9%,(11.6–26.2),,
Marin,2017–2018,Child vs. adult,18+ years,15.1%,(8.9–21.2),,
Mariposa,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2017–2018,Child vs. adult,18+ years,16.1%,(7.4–24.7),,
Merced,2017–2018,Child vs. adult,18+ years,17.6%,(10.0–25.1),,
Modoc,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2017–2018,Child vs. adult,18+ years,15.3%,(8.4–22.2),,
Napa,2017–2018,Child vs. adult,18+ years,24.8%,(11.1–38.4),,
Nevada,2017–2018,Child vs. adult,18+ years,18.0%,(7.9–28.1),,
Orange,2017–2018,Child vs. adult,18+ years,12.3%,(9.2–15.5),,
Placer,2017–2018,Child vs. adult,18+ years,15.5%,(7.6–23.4),,
Plumas,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2017–2018,Child vs. adult,18+ years,15.5%,(8.8–22.2),,
Sacramento,2017–2018,Child vs. adult,18+ years,22.0%,(17.4–26.7),,
San Benito,2017–2018,Child vs. adult,18+ years,20.7%,(0.5–41.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2017–2018,Child vs. adult,18+ years,16.0%,(12.4–19.6),,
San Diego,2017–2018,Child vs. adult,18+ years,15.8%,(13.2–18.5),,
San Francisco,2017–2018,Child vs. adult,18+ years,13.7%,(8.1–19.2),,
San Joaquin,2017–2018,Child vs. adult,18+ years,21.4%,(13.1–29.7),,
San Luis Obispo,2017–2018,Child vs. adult,18+ years,15.4%,(8.9–21.8),,
San Mateo,2017–2018,Child vs. adult,18+ years,16.0%,(9.9–22.2),,
Santa Barbara,2017–2018,Child vs. adult,18+ years,16.5%,(3.8–29.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2017–2018,Child vs. adult,18+ years,15.2%,(11.6–18.8),,
Santa Cruz,2017–2018,Child vs. adult,18+ years,17.5%,(10.5–24.4),,
Shasta,2017–2018,Child vs. adult,18+ years,13.1%,(5.8–20.4),,
Sierra,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2017–2018,Child vs. adult,18+ years,22.7%,(12.0–33.3),,
Sonoma,2017–2018,Child vs. adult,18+ years,18.8%,(8.6–28.9),,
Stanislaus,2017–2018,Child vs. adult,18+ years,17.7%,(9.3–26.1),,
Sutter,2017–2018,Child vs. adult,18+ years,30.7%,(19.3–42.1),,
Tehama,2017–2018,Child vs. adult,18+ years,18.9%,(10.0–27.9),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2017–2018,Child vs. adult,18+ years,19.3%,(10.2–28.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2017–2018,Child vs. adult,18+ years,15.9%,(9.5–22.4),,
Tuolumne,2017–2018,Child vs. adult,18+ years,24.1%,(12.6–35.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2017–2018,Child vs. adult,18+ years,12.7%,(7.9–17.4),,
Yolo,2017–2018,Child vs. adult,18+ years,22.1%,(10.9–33.4),,
Yuba,2017–2018,Child vs. adult,18+ years,20.9%,(12.6–29.1),,
California,2017–2018,Age groups,0–4 years,4.8%,(2.7–6.8),,
Alameda,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Alpine,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Fresno,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Glenn,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Inyo,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lake,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lassen,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Age groups,0–4 years,6.5%,(1.2–11.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Madera,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Merced,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Modoc,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Napa,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Nevada,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Orange,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Placer,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Plumas,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sacramento,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Benito,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Diego,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Francisco,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Cruz,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Shasta,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sierra,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tehama,2017–2018,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2017–2018,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2017–2018,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yolo,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yuba,2017–2018,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
California,2017–2018,Age groups,5–17 years,17.1%,(14.6–19.5),,
Alameda,2017–2018,Age groups,5–17 years,15.4%,(4.1–26.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2017–2018,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2017–2018,Age groups,5–17 years,24.1%,(4.7–43.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2017–2018,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Inyo,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Kings,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lake,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2017–2018,Age groups,5–17 years,17.9%,(12.3–23.5),,
Madera,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2017–2018,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2017–2018,Age groups,5–17 years,13.6%,(2.5–24.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2017–2018,Age groups,5–17 years,20.5%,(8.4–32.5),,
Sacramento,2017–2018,Age groups,5–17 years,17.9%,(3.0–32.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2017–2018,Age groups,5–17 years,18.3%,(4.9–31.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2017–2018,Age groups,5–17 years,13.5%,(6.3–20.6),,
San Francisco,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2017–2018,Age groups,5–17 years,35.4%,(5.2–65.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Luis Obispo,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2017–2018,Age groups,5–17 years,18.5%,(5.2–31.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2017–2018,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2017–2018,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2017–2018,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
